index_right,gu_name,grid_id,driving_pop,fast_count,slow_count,total_output_kw,total_active_count,pop_per_charger,poi_count,exclude,log_pop_per_charger,s_pop_per_charger,s_poi,s_capacity_lack,s_population,s_poi_spatial
19,동대문구,NE_GRID_1267,705,0,1,3,1,352.5,118,0,5.867883485,0.747633192,0.708025513,0.872020988,0.246564268,0.743301586
19,동대문구,NE_GRID_1268,701,0,25,175,25,26.96153846,103,0,3.33082994,0.330070971,0.688064925,0.398442367,0.243330639,0.714330012
19,동대문구,NE_GRID_1269,970,0,28,188,28,33.44827586,49,0,3.539458949,0.36440828,0.579564872,0.37828039,0.460792239,0.635343514
19,동대문구,NE_GRID_1270,736,1,41,177,42,17.11627907,125,0,2.89681093,0.258637736,0.716493512,0.305551996,0.271624899,0.741646853
19,동대문구,NE_GRID_1271,1319,0,0,0,0,1319,147,0,7.185387016,0.964475167,0.740335291,1,0.742926435,0.776107342
19,동대문구,NE_GRID_1272,1319,0,29,79,29,43.96666667,147,0,3.805921475,0.408264148,0.740335291,0.372020988,0.742926435,0.752672338
19,동대문구,NE_GRID_1273,970,2,2,214,4,194,27,0,5.272999559,0.649723925,0.49366496,0.702841936,0.460792239,0.556745696
19,동대문구,NE_GRID_1274,995,1,1,57,2,331.6666667,58,0,5.807140988,0.737635858,0.604085779,0.797158064,0.481002425,0.64769017
19,동대문구,NE_GRID_1275,1133,0,0,0,0,1133,274,0,7.033506484,0.939477834,0.832122719,1,0.592562652,0.836602769
19,동대문구,NE_GRID_1276,757,0,4,28,4,151.4,107,0,5.026508643,0.609155095,0.693656141,0.702841936,0.288601455,0.758070147
19,동대문구,NE_GRID_1277,708,0,12,84,12,54.46153846,264,0,4.01568978,0.442788969,0.826635067,0.526421379,0.248989491,0.848836765
19,동대문구,NE_GRID_1278,705,0,6,42,6,100.7142857,173,0,4.622167762,0.54260645,0.76431228,0.64071749,0.246564268,0.810386052
17,성북구,NE_GRID_1279,771,0,6,42,6,110.1428571,173,0,4.710816375,0.557196726,0.76431228,0.64071749,0.299919159,0.759324916
17,성북구,NE_GRID_1280,895,0,0,0,0,895,9,0,6.797940413,0.900707075,0.341127195,1,0.400161681,0.413272721
17,성북구,NE_GRID_1281,896,0,0,0,0,896,18,0,6.799055862,0.900890662,0.436217629,1,0.400970089,0.480111226
17,성북구,NE_GRID_1282,771,4,0,200,4,154.2,141,0,5.044714608,0.612151532,0.734204085,0.702841936,0.299919159,0.752840428
17,성북구,NE_GRID_1283,665,0,0,0,0,665,306,0,6.501289671,0.851882665,0.848430537,1,0.214227971,0.865779128
17,성북구,NE_GRID_1284,895,0,8,56,8,99.44444444,120,0,4.609604783,0.540538765,0.710494731,0.594316129,0.400161681,0.732049799
17,성북구,NE_GRID_1285,1315,0,2,14,2,438.3333333,17,0,6.085258426,0.783409955,0.428207588,0.797158064,0.739692805,0.48003663
14,노원구,NE_GRID_1286,778,0,2,14,2,259.3333333,17,0,5.561962861,0.697283094,0.428207588,0.797158064,0.305578011,0.471948161
14,노원구,NE_GRID_1287,928,6,17,161,23,38.66666667,71,0,3.680511204,0.387623436,0.633586624,0.413221027,0.426839127,0.664327778
14,노원구,NE_GRID_1288,1502,1,14,148,15,93.875,252,0,4.552560236,0.53115006,0.819769762,0.48808395,0.890864996,0.838195426
14,노원구,NE_GRID_1289,1246,0,4,28,4,249.2,190,0,5.522260598,0.690748677,0.778122514,0.702841936,0.683912692,0.788336964
14,노원구,NE_GRID_1290,778,0,0,0,0,778,20,0,6.658011046,0.87767673,0.451044959,1,0.305578011,0.537757805
14,노원구,NE_GRID_1291,1274,0,25,127,25,49,134,0,3.912023005,0.425726921,0.726714782,0.398442367,0.7065481,0.723668162
14,노원구,NE_GRID_1292,729,0,17,119,17,40.5,63,0,3.725693427,0.395059775,0.616137108,0.466337117,0.265966047,0.633542185
14,노원구,NE_GRID_1293,729,0,0,0,0,729,11,0,6.593044534,0.866984185,0.368138071,1,0.265966047,0.411899358
14,노원구,NE_GRID_1294,1246,4,67,469,71,17.30555556,10,0,2.907204596,0.260348383,0.355247365,0.210379092,0.683912692,0.385771292
14,노원구,NE_GRID_1295,729,1,42,220,43,16.56818182,21,0,2.866089415,0.25358142,0.457936883,0.301307333,0.265966047,0.476652977
14,노원구,NE_GRID_1296,776,10,6,942,16,45.64705882,31,0,3.842609878,0.414302527,0.51344759,0.476890542,0.303961196,0.550269516
14,노원구,NE_GRID_1297,1147,0,13,91,13,81.92857143,89,0,4.417979652,0.509000048,0.666645265,0.512738477,0.603880356,0.689485064
14,노원구,NE_GRID_1298,922,0,0,0,0,922,119,0,6.827629235,0.905593424,0.709265266,1,0.421988682,0.769821223
14,노원구,NE_GRID_1299,1015,10,7,299,17,56.38888889,740,0,4.049850711,0.448411363,0.978973035,0.466337117,0.497170574,0.975150946
14,노원구,NE_GRID_1300,828,0,20,140,20,39.42857143,138,0,3.699536749,0.390754765,0.731040627,0.437875554,0.345998383,0.780749718
14,노원구,NE_GRID_1301,778,0,1,7,1,389,55,0,5.966146739,0.763805899,0.596354478,0.872020988,0.305578011,0.636496548
14,노원구,NE_GRID_1302,922,0,41,287,41,21.95238095,40,0,3.133421676,0.297580434,0.550164433,0.309896542,0.421988682,0.589139804
14,노원구,NE_GRID_1303,1147,0,17,119,17,63.72222222,58,0,4.170104608,0.46820341,0.604085779,0.466337117,0.603880356,0.628555626
14,노원구,NE_GRID_1304,1083,0,33,231,33,31.85294118,54,0,3.492041274,0.356604019,0.593685042,0.34891153,0.55214228,0.617037136
14,노원구,NE_GRID_1305,783,0,5,35,5,130.5,31,0,4.879006852,0.584878439,0.51344759,0.669179052,0.309620049,0.566342882
14,노원구,NE_GRID_1306,1015,4,22,538,26,37.59259259,100,0,3.653060356,0.383105424,0.683728528,0.391474193,0.497170574,0.640064402
20,광진구,NE_GRID_1313,1062,1,0,50,1,531,3,0,6.276643489,0.814909161,0.205379036,0.872020988,0.535165724,0.19439846
20,광진구,NE_GRID_1315,810,3,30,420,33,23.82352941,70,0,3.21179197,0.310479047,0.631514567,0.34891153,0.331447049,0.619350513
21,성동구,NE_GRID_1316,1008,3,30,420,33,29.64705882,70,0,3.422536698,0.345164573,0.631514567,0.34891153,0.491511722,0.675400174
20,광진구,NE_GRID_1317,935,0,5,35,5,155.8333333,145,0,5.05518367,0.613874588,0.738319618,0.669179052,0.432497979,0.765262153
